ubigeo,departamento,provincia,distrito,c1_rows,atenciones_missing_share,atendidos_missing_share,total_emergency_attentions,total_emergency_attended,total_populated_centers,matched_centers,coverage_share,mean_distance_km,median_distance_km,share_over_20km,share_over_30km,q1_territorial_availability_score,q2_settlement_access_score,q2_observed_settlement_access_score,q3_baseline_combined_score,q4_alternative_combined_score,baseline_rank_best_to_worst,alternative_rank_best_to_worst,rank_shift_alt_minus_base,abs_rank_shift,q1_missing_dominant,q1_reported_zero_activity,q2_no_matched_centers,q2_observed_low_access,q4_observed_no_matched_centers,q3_low_score_cause,q3_baseline_level,q4_alternative_level,facility_component,activity_component,distance_component,remote_tail_component,coverage_component,matched_centers_observed,coverage_share_observed,mean_distance_km_observed,median_distance_km_observed,share_over_20km_observed,share_over_30km_observed,distance_component_observed,remote_tail_component_observed
160110,LORETO,MAYNAS,TORRES CAUSANA,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.0,187.8664340892851,201.0080485840097,1.0,1.0,0.0826041033634331,0.0293074172666118,0.06953810369397667,0.05595576031502245,0.07607110352870489,1874,1871,3,3,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1652082067268663,0.0,0.0418677389523026,0.0,1.0,35.0,1.0,187.8664340892851,201.00804858400974,1.0,1.0,0.0993401481342524,0.0
160803,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,0.0,0.0,0.0,0.0,0.0,63.0,63.0,1.0,225.79851445020208,202.46798837199265,1.0,1.0,0.0897107931332828,0.0283726905413947,0.06865944542507717,0.05904174183733875,0.07918511927917998,1873,1869,4,4,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1794215862665657,0.0,0.0405324150591354,0.0,1.0,63.0,1.0,225.79851445020208,202.46798837199265,1.0,1.0,0.09808492203582453,0.0
250401,UCAYALI,PURUS,PURUS,16.0,1.0,1.0,0.0,0.0,64.0,64.0,1.0,228.0641143786865,229.252599225486,1.0,1.0,0.1061543026792127,0.0123202398475768,0.05356988164380226,0.05923727126339475,0.07986209216150748,1872,1868,4,4,True,False,False,True,False,Missing-dominant activity,Very low availability,Very low availability,0.2123086053584255,0.0,0.0176003426393954,0.0,1.0,64.0,1.0,228.83784656080616,229.252599225486,1.0,1.0,0.07652840234828895,0.0
250204,UCAYALI,ATALAYA,YURUA,6.0,1.0,1.0,0.0,0.0,25.0,25.0,1.0,161.86512410467816,160.55672129192084,1.0,1.0,0.0639112585504727,0.0583119460489826,0.0972106227686637,0.061111602299727646,0.0805609406595682,1871,1867,4,4,True,False,False,True,False,Missing-dominant activity,Very low availability,Very low availability,0.1278225171009454,0.0,0.0833027800699751,0.0,1.0,25.0,1.0,161.1852611157492,160.01768273456736,1.0,1.0,0.13887231824094814,0.0
160508,LORETO,REQUENA,SOPLIN,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,117.48832027043638,121.07408316734453,1.0,1.0,0.0506484740881968,0.0946862648215027,0.1245813444845938,0.07266736945484975,0.0876149092863953,1870,1865,5,5,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.1352660926021467,0.0,1.0,14.0,1.0,131.23806013038566,127.66270028353951,1.0,1.0,0.17797334926370545,0.0
160802,LORETO,PUTUMAYO,ROSA PANDURO,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.0,78.46463412682962,81.27578649722146,1.0,1.0,0.0,0.1459000003726549,0.17913702119009262,0.07295000018632745,0.08956851059504631,1869,1864,5,5,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0,0.0,0.2084285719609356,0.0,1.0,21.0,1.0,78.46463412682962,81.27578649722146,1.0,1.0,0.2559100302715609,0.0
160706,LORETO,DATEM DEL MARAÑON,ANDOAS,0.0,0.0,0.0,0.0,0.0,115.0,115.0,1.0,168.29642868531784,174.21132519146576,1.0,1.0,0.1012969481763936,0.0477802232277011,0.09414293129125385,0.07453858570204736,0.09771993973382373,1868,1861,7,7,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.2025938963527872,0.0,0.0682574617538588,0.0,1.0,115.0,1.0,154.40926635870602,164.11724746063638,1.0,1.0,0.13448990184464837,0.0
160511,LORETO,REQUENA,YAQUERANA,0.0,0.0,0.0,0.0,0.0,22.0,22.0,1.0,107.5386773920834,107.82104839733935,1.0,1.0,0.0506484740881968,0.1096035988991576,0.09280435356638943,0.08012603649367721,0.07172641382729311,1867,1872,-5,5,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.1565765698559394,0.0,1.0,22.0,1.0,172.43469150829415,165.93863366323325,1.0,1.0,0.1325776479519849,0.0
170202,MADRE DE DIOS,MANU,FITZCARRALD,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,125.18909311452896,126.0569426814776,1.0,1.0,0.0741986734039763,0.0894932234815004,0.12608481707266708,0.08184594844273835,0.1001417452383217,1866,1860,6,6,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1483973468079527,0.0,0.1278474621164292,0.0,1.0,15.0,1.0,129.35954755834547,126.08706069627493,1.0,1.0,0.18012116724666727,0.0
040303,AREQUIPA,CARAVELI,ATICO,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.0,93.30290914358376,102.20920742643104,1.0,1.0,0.0506484740881968,0.1164762134932509,0.1517793914527409,0.08356234379072384,0.10121393277046886,1865,1858,7,7,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.1663945907046442,0.0,1.0,35.0,1.0,91.92456745816187,101.9547419799672,1.0,1.0,0.2168277020753442,0.0
